,std1,mean1,std,mean
is_for_winterholiday,0.0,0.0,0.0148249861541,0.000219804374107
is_credible_city,0.0,0.0,0.0,0.0
is_credible_arrv_city,0.0,0.0,0.0,0.0
is_international_city,0.0,0.0,0.0,0.0
is_credible_dept_city,0.0,0.0,0.0,0.0
is_long_holiday_trip,0.0,0.0,0.0,0.0
is_international_arrv_city,0.0205803135419,0.000423639059521,0.0104834243954,0.000109902187054
is_international_dept_city,0.0205803135419,0.000423639059521,0.0,0.0
female_count,0.0290987902638,-0.000847278119043,0.0809405254886,-0.00659413122321
is_credible_guest,0.120874360728,0.985172632917,0.369872913115,0.836465545664
is_high_risk_city,0.136763638282,0.0190637576785,0.138117256736,0.0194526871085
is_high_risk_arrv_city,0.165481529218,0.0281719974582,0.181981739275,0.0342894823607
is_high_risk_dept_city,0.184208741349,0.0351620419403,0.177704779246,0.0326409495549
is_credible_device,0.262708639032,0.925439525524,0.360731793529,0.846246840312
is_short_holiday_trip,0.290150346085,0.0927769540352,0.0181558277765,0.000329706561161
is_client_ip_city_born,0.337563244908,0.131116288922,0.32422215288,0.11935377514
level,0.3380257063,1.13153992798,0.311685159101,1.10902296956
is_arrv_code_born,0.373127498576,0.167125608981,0.356783739804,0.149686778767
is_dept_code_born,0.379794305545,0.174751112053,0.38837996879,0.185075282998
is_arrv_code_live,0.396959288687,0.195933065029,0.410364851379,0.214309264754
is_arrv_code_guest_live,0.400960941711,0.201228553273,0.409674390221,0.213320145071
is_dept_code_live,0.420218859059,0.228976911671,0.454661627565,0.291900208814
is_dept_code_guest_live,0.422654083862,0.232789663207,0.457088349516,0.29728541598
is_client_ip_city_live,0.427252109908,0.240203346749,0.448769004776,0.279481261677
is_for_summerholiday,0.431052753075,0.246557932641,0.0,0.0
is_client_ip_city_guest_live,0.434967843035,0.253336157594,0.447791393609,0.27750302231
order_before,0.441109001014,0.261808938784,0.389757104926,0.166391911199
is_contact_self,0.445781644104,0.726540987079,0.438613838521,0.740081327618
is_for_weekend,0.472296427729,0.335733954671,0.255359128869,0.0701175953401
is_for_weekday,0.47251700977,0.66363058674,0.266148121303,0.923288273437
time_span,0.522497379111,0.131328108452,0.447994965516,0.0858336080888
male_count,0.690173326058,0.791781402245,0.695994798612,0.747994285086
guest_count,0.73365690413,1.33425121796,0.721279368406,1.31794702715
order_month,1.47999984766,5.14721457318,0.971286305863,10.9208704253
order_week,1.9826124349,4.02457106545,0.161881050977,0.986811737554
need_bill,4.60348220595,1.83245075196,4.52887179718,1.46928233872
order_hour,5.26243119706,13.5422579962,4.72778139062,13.0367073305
order_date,8.89365371217,15.6108875238,1.13316735684,12.9076821629
self_ratio,43.8822154402,63.7682694344,43.2029302784,64.3369234714
od_days,44.8957086448,127.929252277,0.0,0.0
fst_od_days,44.9411996867,127.843889007,0.0,0.0
unit_price,188.043709684,185.510237852,163.143503254,169.460960985
price,354.029119675,276.003029019,282.114144545,238.507277723
diff_c_order_before_seven,412993.474223,215841.468405,363822.974612,142868.582504
diff_c_order_hour,8909068.9848,7468778.50441,8496185.38507,7369558.29421
user_id,49404048.1678,179378226.604,52184249.3684,163275220.245
diff_c_unit_price_seven,201215611.246,134305307.094,179065428.349,121529418.285
diff_c_busi_price_seven,372924344.943,167554923.836,300268701.956,145351127.312
diff_c_price_seven,376883024.608,175208797.36,342801020.542,122179034.721
diff_c_ious_price,423731468.331,139670466.675,400147789.09,100552811.625
